Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Gaylord Perry,1,90.4,52.5,71.5,22,1962,1983,5,314,265,0.542,3.11,117,777,690,33,303,53,10,5350,4938,2128,1846,399,1379,164,3534,108,6,160,21953
Fergie Jenkins,1,84.4,51.4,67.9,19,1965,1983,3,284,226,0.557,3.34,115,664,594,37,267,49,7,4500.2,4142,1853,1669,484,997,116,3192,84,18,62,18400
Jim Kaat,0,50.7,38.3,44.5,25,1959,1983,3,283,237,0.544,3.45,108,898,625,102,180,31,17,4530.1,4620,2038,1738,395,1083,116,2461,122,6,128,19023
Jon Matlack,0,39.5,36.9,38.2,13,1971,1983,3,125,126,0.498,3.18,114,361,318,23,97,30,3,2363,2276,970,835,161,638,69,1516,26,9,68,9789
Jim Barr,0,30.6,29,29.8,12,1971,1983,0,101,112,0.474,3.56,105,454,252,75,64,20,12,2065.1,2170,908,816,161,469,74,741,30,14,22,8612
Dave Goltz,0,22.9,25.4,24.2,12,1972,1983,0,113,109,0.509,3.69,105,353,264,39,83,13,8,2039.2,2104,950,836,149,646,28,1105,26,10,62,8628
Luis Tiant,0,66.5,44.4,55.5,19,1964,1982,3,229,172,0.571,3.3,114,573,484,51,187,49,15,3486.1,3075,1400,1280,346,1104,53,2416,49,4,27,14365
Rick Wise,0,36.6,28.3,32.5,18,1964,1982,2,188,181,0.509,3.69,101,506,455,15,138,30,0,3127.1,3227,1455,1281,261,804,83,1647,44,9,49,13157
Stan Bahnsen,0,22.9,22.4,22.6,16,1966,1982,0,146,149,0.495,3.6,97,574,327,90,73,16,20,2529,2440,1127,1013,223,924,59,1359,34,3,89,10701
Bill Lee,0,21.9,21.3,21.6,14,1969,1982,1,119,90,0.569,3.62,108,416,225,70,72,10,19,1944.1,2122,885,783,176,531,27,713,27,1,24,8271
J.R. Richard,0,22.3,22.5,22.4,10,1971,1980,1,107,71,0.601,3.15,108,238,221,3,76,19,0,1606,1227,625,562,73,770,15,1493,17,14,92,6674
Mickey Lolich,0,48.3,38,43.1,16,1963,1979,3,217,191,0.532,3.44,104,586,496,40,195,41,10,3638.1,3366,1537,1390,347,1099,67,2832,92,8,124,15140
Catfish Hunter,1,41.2,35.1,38.1,15,1965,1979,8,224,166,0.574,3.26,104,500,476,6,181,42,1,3449.1,2958,1380,1248,374,954,57,2012,49,7,49,14032
Andy Messersmith,0,40.2,34.3,37.3,12,1968,1979,4,130,99,0.568,2.86,121,344,295,30,98,27,14,2230.1,1719,812,709,174,831,44,1625,40,7,70,9120
