Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+
Jackie Jensen,0,27.9,24.8,26.3,11,1950,1961,3,1438,6077,5236,810,1463,259,45,199,929,143,55,750,546,0.279,0.369,0.46,0.829,120
Elmer Valo,0,28.1,22.2,25.2,20,1940,1961,0,1806,6091,5029,768,1420,228,73,58,601,110,79,942,284,0.282,0.398,0.391,0.79,115
Carl Furillo,0,35.1,26,30.6,15,1946,1960,2,1806,7022,6378,895,1910,324,56,192,1058,48,50,514,436,0.299,0.355,0.458,0.813,112
Enos Slaughter,0,55.3,35.2,45.3,19,1938,1959,10,2380,9086,7946,1247,2383,413,148,169,1304,71,55,1018,538,0.3,0.382,0.453,0.834,124
Wally Moses,0,33,24.3,28.7,17,1935,1951,2,2012,8253,7356,1124,2138,435,110,89,679,174,81,821,457,0.291,0.364,0.416,0.779,109
Tommy Henrich,0,35.7,28.1,31.9,11,1937,1950,5,1284,5409,4603,901,1297,269,73,183,795,37,19,712,383,0.282,0.382,0.491,0.873,132
Dixie Walker,0,42.7,30.3,36.5,18,1931,1949,5,1905,7669,6740,1038,2064,376,96,105,1023,59,36,817,325,0.306,0.383,0.437,0.82,121
Mike Ryan,0,-1.2,1,-0.1,11,1964,1974,0,636,2099,1920,146,370,60,12,28,161,4,4,152,370,0.193,0.252,0.28,0.532,51
Jeff Torborg,0,0.4,1.4,0.9,10,1964,1973,0,574,1525,1391,78,297,42,3,8,101,3,6,103,189,0.214,0.268,0.265,0.533,57
John Kennedy,0,-2.8,1.1,-0.8,12,1962,1974,0,856,2324,2110,237,475,77,17,32,185,14,10,142,461,0.225,0.281,0.323,0.604,70
Jimmy Stewart,0,-1.2,1.2,0,10,1963,1973,0,777,1602,1420,164,336,45,14,8,112,38,20,139,218,0.237,0.306,0.305,0.611,71
John Boccabella,0,-0.3,1.8,0.8,12,1963,1974,0,551,1598,1462,117,320,56,5,26,148,3,7,96,246,0.219,0.267,0.317,0.584,62
Jim Beauchamp,0,-1.5,0.1,-0.7,10,1963,1973,0,393,730,661,79,153,18,4,14,90,6,5,54,150,0.231,0.288,0.334,0.622,75
John Stephenson,0,-2.2,0.5,-0.8,10,1964,1973,0,451,1076,989,83,214,37,3,12,93,0,1,63,118,0.216,0.271,0.296,0.567,65
Roberto Clemente,1,94.5,54.2,74.3,18,1955,1972,15,2433,10211,9454,1416,3000,440,166,240,1305,83,46,621,1230,0.317,0.359,0.475,0.834,130
